"FileName","Coverage","Source","SRR_Illumina","SRR_Nanopore","StrainName","StandardizedName","GeographicOrigin","EcoOrigin","Country","Continent","PositionOnTree","Clade","SubClade"
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR12404000_1.fastq.gz",168.91,"Goddard2021","SRR12404000","","MARARsf_E10","XTRA_FDU","New Zealand, Martinborough","Spontaneous Commercial Ferment","New Zealand","Oceania",469,"1. Wine",NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR12403999_1.fastq.gz",132.44,"Goddard2021","SRR12403999","","MARLIsf_C1","XTRA_FDV","New Zealand, Martinborough","Spontaneous Commercial Ferment","New Zealand","Oceania",421,"1. Wine",NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR12403998_1.fastq.gz",107.57,"Goddard2021","SRR12403998","","MPACLsf_B1","XTRA_FDW","New Zealand, Martinborough","Spontaneous Commercial Ferment","New Zealand","Oceania",569,"1. Wine",NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR12403997_1.fastq.gz",143.5,"Goddard2021","SRR12403997","","MPAPEsf_A12","XTRA_FDX","New Zealand, Martinborough","Spontaneous Commercial Ferment","New Zealand","Oceania",563,"1. Wine",NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR12403996_1.fastq.gz",105.63,"Goddard2021","SRR12403996","","MTKSBsf_A3","XTRA_FDY","New Zealand, Martinborough","Spontaneous Commercial Ferment","New Zealand","Oceania",553,"1. Wine",NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR12403995_1.fastq.gz",108.78,"Goddard2021","SRR12403995","","MTKSBsf_H10","XTRA_FDZ","New Zealand, Martinborough","Spontaneous Commercial Ferment","New Zealand","Oceania",494,"1. Wine",NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR12403994_1.fastq.gz",137.46,"Goddard2021","SRR12403994","","MTKSKsf_G9","XTRA_FEA","New Zealand, Martinborough","Spontaneous Commercial Ferment","New Zealand","Oceania",549,"1. Wine",NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR12403993_1.fastq.gz",165.73,"Goddard2021","SRR12403993","","NNEMAsf_G8","XTRA_FEB","New Zealand, Nelson","Spontaneous Commercial Ferment","New Zealand","Oceania",533,"1. Wine",NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR12403992_1.fastq.gz",127.45,"Goddard2021","SRR12403992","","NSEBRsf_C5","XTRA_FEC","New Zealand, Nelson","Spontaneous Commercial Ferment","New Zealand","Oceania",261,"1. Wine","1.1 NZ Wine 1"
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR12403991_1.fastq.gz",148.38,"Goddard2021","SRR12403991","","NSECHsf_F2","XTRA_FED","New Zealand, Nelson","Spontaneous Commercial Ferment","New Zealand","Oceania",205,"1. Wine",NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR12403989_1.fastq.gz",188.61,"Goddard2021","SRR12403989","","NSEERsf_G8","XTRA_FEE","New Zealand, Nelson","Spontaneous Commercial Ferment","New Zealand","Oceania",269,"1. Wine","1.1 NZ Wine 1"
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR12403988_1.fastq.gz",148.95,"Goddard2021","SRR12403988","","NSERVsf_H8","XTRA_FEF","New Zealand, Nelson","Spontaneous Commercial Ferment","New Zealand","Oceania",267,"1. Wine","1.1 NZ Wine 1"
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR12403987_1.fastq.gz",187.55,"Goddard2021","SRR12403987","","NSEWIsf_H11","XTRA_FEG","New Zealand, Nelson","Spontaneous Commercial Ferment","New Zealand","Oceania",271,"1. Wine","1.1 NZ Wine 1"
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR12403986_1.fastq.gz",287.89,"Goddard2021","SRR12403986","","T52-27","XTRA_FEH","New Zealand, West Auckland","River Ferment","New Zealand","Oceania",241,"1. Wine","1.1 NZ Wine 1"
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR12403985_1.fastq.gz",36.8,"Goddard2021","SRR12403985","","WA-WaitakereRd-4","XTRA_FEI","New Zealand, Wairau Valley","Spontaneous Commercial Ferment","New Zealand","Oceania",242,"1. Wine","1.1 NZ Wine 1"
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR12403984_1.fastq.gz",201.15,"Goddard2021","SRR12403984","","WCHLOsf_A9","XTRA_FEJ","New Zealand, Wairau Valley","Spontaneous Commercial Ferment","New Zealand","Oceania",410,"1. Wine",NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR12403983_1.fastq.gz",118.33,"Goddard2021","SRR12403983","","WCHLOsf_H2","XTRA_FEK","New Zealand, Wairau Valley","Spontaneous Commercial Ferment","New Zealand","Oceania",127,"1. Wine",NA
